"","ID","n","leaf_area"
"1","AET9658",6,0.42
"2","AEU1941",5,0.45
"3","AEV2517",5,0.43
"4","AEW5970",5,0.51
"5","AEX5691",5,0.49
"6","AEY2191",18,8.26
"7","AEZ2601",13,8.07
"8","AFA0125",12,7.28
"9","AFB1674",14,8.14
"10","AFC3199",12,7.99
"11","AFD7600",5,0.41
"12","AFE6027",5,0.39
"13","AFF0605",5,0.33
"14","AFG6691",5,0.35
"15","AFH2340",5,0.32
"16","AFI5940",16,7.81
"17","AFJ2564",18,8.28
"18","AFK8081",13,8.2
"19","AFL6002",16,8.25
"20","AFM3970",15,8.11
"21","AFN6741",14,8.19
"22","AFO3585",17,8.14
"23","AFP1848",15,8.34
"24","AFQ0179",21,8.48
"25","AFR5861",14,8.16
"26","AFS5163",17,8.4
"27","AFT2844",13,8.35
"28","AFU4651",15,7.44
"29","AFV5305",10,8.1
"30","AFW5102",15,8.39
"31","AFX4885",14,7.98
"32","AFY6280",14,8.23
"33","AFZ7040",12,7.98
"34","AGA3981",12,7.99
"35","AGB0211",11,8.1
"36","AGC4394",6,0.34
"37","AGD4581",12,8.05
"38","AGE2285",11,8.18
"39","AGF5945",16,8.34
"40","AGG6182",15,8.4
"41","AGH4383",15,8.08
"42","AGI0122",13,7.92
"43","AGJ5782",15,8.25
"44","AGK2513",20,8.1
"45","AGL2418",17,8.26
"46","AGM8698",15,8.16
"47","AGN9253",5,0.35
"48","AGO8534",6,0.34
"49","AGP9561",5,0.31
"50","AGQ5732",5,0.33
"51","AGR3236",5,0.31
"52","AGS2795",5,0.22
"53","AGT1195",5,0.29
"54","AGU2562",5,0.29
"55","AGV1765",5,0.29
"56","AGW4674",5,0.33
"57","AHX5520",16,8.1
"58","AHY0313",17,7.44
"59","AHZ8128",13,7.37
"60","AIA1602",15,7.45
"61","AIB1033",16,8.22
"62","AIC8155",18,8.25
"63","AID6090",20,7.99
"64","AIE1799",17,7.39
"65","AIF4616",19,8.09
"66","AIG6204",15,7.47
"67","AIH5988",15,7.26
"68","AII0966",16,8.05
"69","AIJ3528",17,7.74
"70","AIK5442",17,8.13
"71","AIL1475",14,7.49
"72","AIM2004",16,8.2
"73","AIN5702",16,7.93
"74","AIP9050",15,8.26
"75","AIQ6550",17,7.59
"76","AIR3675",15,8.31
"77","AIS0494",17,8.29
"78","AIT9753",14,7.38
"79","AIU7712",17,8.29
"80","AIV0376",12,8.31
"81","AIW5218",14,7.98
"82","AIX0617",14,8.23
"83","AIY1169",19,8.32
"84","AIZ7271",14,8.41
"85","AJA8349",14,8.24
"86","AJB6718",12,7.34
"87","AJC7158",11,8.15
"88","AJD0350",12,7.93
"89","AJE6341",13,7.29
"90","AJF9503",15,8.06
"91","AJG4523",18,8.1
"92","AJH5149",14,8.36
"93","AJI3360",19,7.29
"94","AJJ5292",14,7.89
"95","AJK5790",18,8.21
"96","AJL4764",16,7.84
"97","AJM1428",15,8.02
"98","AJN0655",15,8.38
"99","AJO0381",15,7.92
"100","AJQ8352",16,8.13
"101","AJR6454",17,8.32
"102","AJS1455",18,8.24
"103","AJT3318",20,8.01
"104","AJU8268",15,8.42
"105","AJV0950",15,8.33
"106","AJW0721",16,8.32
"107","AJX2544",12,7.9
"108","AJY7747",18,8.08
"109","AJZ9114",16,8.07
"110","AKA3451",17,8.18
"111","AKB8707",14,8.25
"112","AKC8290",19,8.35
"113","AKD5015",15,7.97
"114","AKE4097",16,8.18
"115","AKF3745",14,7.31
"116","AKG1532",13,8.24
"117","AKH1573",15,8.27
"118","AKI2681",15,8.19
"119","AKJ7252",16,7.69
"120","AKK6283",17,8.1
"121","AKL8167",14,8.17
"122","AKM2704",14,8.26
"123","AKN5176",16,8.1
"124","AKO7972",18,8.25
"125","AKP4343",9,7.27
"126","AKQ2584",14,7.42
"127","AKR6457",15,7.81
"128","AKS4287",14,7.35
"129","AKT7102",15,7.71
"130","AKU4270",18,7.88
"131","AKV5268",17,8.19
"132","AKW0479",17,7.99
"133","AKX7743",17,8.28
"134","AKY4269",12,7.91
"135","AKZ2794",14,7.79
"136","ALA2747",11,8.13
"137","ALB9866",11,8.06
"138","ALC6472",15,7.74
"139","ALD4933",11,7.92
"140","ALE4709",16,8.09
"141","ALF5461",16,8.11
"142","ALG1782",14,8.15
"143","ALH8479",14,8.32
"144","ALI4627",14,8.33
"145","ALJ6353",17,7.9
"146","ALK1774",16,8.3
"147","ALL9208",17,7.92
"148","ALM9190",17,7.38
"149","ALN2133",21,7.2
"150","ALO5425",17,7.39
"151","ALP5518",13,8.1
"152","ALQ7610",16,7.94
"153","ALR2260",17,7.42
"154","ALS6326",17,7.95
"155","ALT0799",14,8.02
"156","ALU2006",14,8.25
"157","ALV1555",14,8.23
"158","ALW7103",14,7.11
"159","ALX1030",14,7.95
"160","ALY4835",14,8.09
"161","ALZ0919",14,8.15
"162","AMA2911",7,8.32
"163","AMB0961",17,8.31
"164","AMC5015",17,8.27
"165","AMD1977",12,8.08
"166","AME2572",20,8.42
"167","AMF8499",17,8.25
"168","AMG6203",15,8.07
"169","AMH1052",18,8.51
"170","AMI0530",18,8.15
"171","AMJ6008",12,7.49
"172","AMK6767",16,8.03
"173","AML9094",15,8.21
"174","AMM7954",15,8.44
"175","AMN5186",14,8.15
"176","AMO7965",17,8.12
"177","AMP6104",19,7.84
"178","AMQ3305",10,8.05
"179","AMR2415",19,7.91
"180","AMS0757",17,8.28
"181","AMT8137",14,8.25
"182","AMU9701",13,8.11
"183","AMV5254",11,8.21
"184","AMW7024",16,8.03
"185","AMX0988",14,8.07
"186","AMY0728",18,7.99
"187","AMZ6959",20,7.89
"188","ANA3855",16,8.02
"189","ANB3937",17,8.11
"190","ANC4732",14,8.08
"191","AND3521",17,8.12
"192","ANE4527",14,8.19
"193","ANF4169",18,8.38
"194","ANG9914",18,8.1
"195","ANH0178",15,7.97
"196","ANI4441",14,8.06
"197","ANJ0271",15,8.38
"198","ANK7018",15,8.06
"199","ANL8059",11,8.15
"200","ANM5224",14,8.12
"201","ANN9182",18,8.11
"202","ANO4375",15,8.21
"203","ANP3602",13,8.46
"204","ANQ4032",18,8.19
"205","ANR5076",15,8.4
"206","ANS0610",19,7.95
"207","ANT3490",19,8.4
"208","ANU2647",17,8.21
"209","ANV0357",17,8.13
"210","ANW2146",18,8.23
"211","ANX0417",14,8.27
"212","ANY3979",14,8.26
"213","ANZ7855",12,8.46
"214","AOA5929",12,8.31
